
input\BAIS_Ranch_Yr_Restoration.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EL15-2015Non-restoration	9500.000	19	11.00000	2	18.855	12.984	68.86	6.4042	55.513	18.15
EL15-2016Non-restoration	9500.000	19	11.00000	0	0.00000	-	-	-	-	-
El24-2008Non-restoration	5991.000	6	11.00000	0	0.00000	-	-	-	-	-
El24-2009Non-restoration	5994.000	6	11.00000	0	0.00000	-	-	-	-	-
El24-2010Non-restoration	5994.000	6	11.00000	1	14.942	14.966	100.16	2.7900	80.021	-
El24-2011Non-restoration	5994.000	6	11.00000	0	0.00000	-	-	-	-	-
El24-2012Non-restoration	5994.000	6	11.00000	0	0.00000	-	-	-	-	-
El24-2013Non-restoration	7994.000	10	11.00000	0	0.00000	-	-	-	-	-
El24-2014Non-restoration	18500.00	37	11.00000	1	4.8412	4.8460	100.10	1.1861	19.759	-
El25-2014Non-restoration	13500.00	27	11.00000	1	6.6342	6.6409	100.10	1.6023	27.470	-
El5b-2015Non-restoration	5500.000	11	11.00000	1	16.284	16.300	100.10	3.5993	73.673	-
El5b-2016Non-restoration	6000.000	12	11.00000	4	59.708	33.785	56.58	23.198	153.68	11.14
El5b-2016Restoration	3500.000	7	11.00000	0	0.00000	-	-	-	-	-
ElGr-2014Non-restoration	13500.00	27	11.00000	6	39.805	17.546	44.08	19.411	81.629	26.54
ElGr-2015Non-restoration	13500.00	27	11.00000	2	13.268	9.2191	69.48	4.5505	38.689	26.22
ElMu-2014Non-restoration	12000.00	24	11.00000	3	22.391	12.393	55.35	9.2363	54.279	23.30
ElMu-2015Non-restoration	12500.00	25	11.00000	4	28.660	16.979	59.24	11.219	73.217	24.28
ElUn-2015Non-restoration	6000.000	12	11.00000	0	0.00000	-	-	-	-	-
ElUn-2016Non-restoration	6000.000	12	11.00000	1	14.927	14.942	100.10	3.3450	66.611	-
Grgz-2015Non-restoration	2500.000	5	11.00000	0	0.00000	-	-	-	-	-
HORM-2015Non-restoration	1500.000	3	11.00000	0	0.00000	-	-	-	-	-
LuBa-2015Non-restoration	5500.000	11	11.00000	0	0.00000	-	-	-	-	-
Mim-2014Non-restoration	49000.00	98	11.00000	1	1.8278	1.8296	100.10	0.45819	7.2914	-
Mim-2015Non-restoration	29500.00	59	11.00000	1	3.0360	3.0390	100.10	0.75425	12.220	-
Mim-2016Non-restoration	39500.00	79	11.00000	7	15.872	8.0601	50.78	7.1517	35.224	79.22
MIMB-2016Non-restoration	5000.000	10	11.00000	1	17.912	17.930	100.10	3.8920	82.440	-
MIMB-2016Restoration	5000.000	10	11.00000	0	0.00000	-	-	-	-	-
PDAl-2014Non-restoration	28000.00	56	11.00000	4	12.795	6.2466	48.82	5.9043	27.726	55.93
PDAl-2015Non-restoration	28000.00	56	11.00000	3	9.5959	5.4554	56.85	3.9596	23.255	55.69
PDAl-2016Non-restoration	28000.00	56	11.00000	0	0.00000	-	-	-	-	-
PDAl-2016Restoration	13500.00	27	11.00000	0	0.00000	-	-	-	-	-
Pena-2015Non-restoration	22500.00	45	11.00000	2	7.9611	5.5764	70.05	2.7542	23.011	44.36
Pena-2016Non-restoration	22500.00	45	11.00000	3	11.942	8.8356	73.99	3.9352	36.237	44.32
Pena-2016Restoration	18500.00	37	11.00000	2	9.6824	6.7646	69.86	3.3404	28.065	36.30
PEPO-2013Non-restoration	2000.000	4	11.00000	0	0.00000	-	-	-	-	-
Robl-2014Non-restoration	1500.000	3	11.00000	0	0.00000	-	-	-	-	-
Robl-2015Non-restoration	2000.000	4	11.00000	1	44.781	44.826	100.10	6.3233	317.14	-
Robl-2016Non-restoration	2000.000	4	11.00000	0	0.00000	-	-	-	-	-
RUBE-2013Non-restoration	2000.000	4	11.00000	2	89.562	51.863	57.91	25.419	315.57	3.04
SBla-2015Non-restoration	17000.00	34	11.00000	0	0.00000	-	-	-	-	-
SLu2-2015Non-restoration	14500.00	29	11.00000	2	12.353	8.5955	69.58	4.2432	35.965	28.23
SLui-2014Non-restoration	10500.00	21	11.00000	3	25.589	14.062	54.95	10.556	62.030	20.27
SLui-2015Non-restoration	15000.00	30	11.00000	1	5.9708	5.9768	100.10	1.4498	24.590	-
SLui-2016Non-restoration	16500.00	33	11.00000	4	21.712	12.981	59.79	8.5143	55.367	32.36
SLui-2016Restoration	14500.00	29	11.00000	7	43.237	19.278	44.59	20.965	89.171	28.57
TiVe-2014Non-restoration	14500.00	29	11.00000	3	18.530	10.342	55.81	7.6439	44.920	28.36
TiVe-2015Non-restoration	15000.00	30	11.00000	0	0.00000	-	-	-	-	-
VENA-2015Non-restoration	3000.000	6	11.00000	0	0.00000	-	-	-	-	-

input\LARB_Ranch_Yr_Restoration.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
Aguj-2013Non-restoration	500.0000	1	176.0000	0	0.00000	-	-	-	-	-
Aguj-2014Non-restoration	22000.00	44	176.0000	0	0.00000	12.570	34.31	20.921	64.166	44.50
Aguj-2015Non-restoration	22500.00	45	176.0000	0	0.00000	10.920	30.48	21.721	59.086	45.95
AT-2014Non-restoration	8450.000	20	176.0000	0	0.00000	37.462	35.34	58.619	191.65	19.62
AT-2015Non-restoration	6000.000	12	176.0000	0	0.00000	27.299	30.48	52.548	152.65	11.49
AT-2016Non-restoration	6000.000	12	176.0000	0	0.00000	35.091	39.18	45.507	176.27	11.29
AU-2014Non-restoration	75200.00	114	176.0000	19	31.158	11.538	37.03	17.239	56.317	242.45
AU-2015Non-restoration	24500.00	49	176.0000	2	10.067	7.4060	73.57	3.3536	30.220	58.51
AU-2016Non-restoration	23500.00	47	176.0000	0	0.00000	8.8725	38.80	12.200	42.862	47.24
AV-2015Non-restoration	21000.00	42	176.0000	4	23.490	12.504	53.23	10.199	54.100	60.71
AV-2016Non-restoration	20500.00	41	176.0000	0	0.00000	-	-	-	-	-
CaJa-2015Non-restoration	6000.000	12	176.0000	0	0.00000	14.942	100.10	3.3450	66.611	-
CaJa-2016Non-restoration	6000.000	12	176.0000	2	41.107	29.246	71.15	13.287	127.17	13.63
Coy1-2014Non-restoration	7000.000	14	176.0000	8	140.94	74.257	52.69	59.962	331.26	19.56
Coy1-2015Non-restoration	6500.000	13	176.0000	2	37.945	27.097	71.41	12.305	117.01	14.85
Coy1-2016Non-restoration	6500.000	13	176.0000	1	18.972	19.456	102.55	4.2378	84.938	-
Coy2-2007Non-restoration	4005.000	4	176.0000	0	0.00000	-	-	-	-	-
Coy2-2008Non-restoration	6057.000	6	176.0000	0	0.00000	-	-	-	-	-
Coy2-2009Non-restoration	6032.000	6	176.0000	0	0.00000	14.876	100.19	2.7716	79.542	-
Coy2-2010Non-restoration	6032.000	6	176.0000	0	0.00000	-	-	-	-	-
Coy2-2011Non-restoration	6032.000	6	176.0000	0	0.00000	-	-	-	-	-
Coy2-2012Non-restoration	6032.000	6	176.0000	0	0.00000	14.890	100.29	2.7683	79.637	-
Coy2-2013Non-restoration	6032.000	6	176.0000	2	40.889	41.966	102.63	7.6681	218.03	5.53
Coy2-2014Non-restoration	8500.000	17	176.0000	10	145.08	53.874	37.13	79.205	265.75	39.79
Coy2-2015Non-restoration	8500.000	17	176.0000	1	14.508	14.878	102.55	3.3311	63.188	-
Coy2-2016Non-restoration	10500.00	21	176.0000	1	11.745	12.044	102.55	2.7403	50.337	-
Dama-2014Non-restoration	10500.00	21	176.0000	2	23.490	17.046	72.57	7.7272	71.405	24.56
Dama-2015Non-restoration	10500.00	21	176.0000	2	23.490	17.046	72.57	7.7272	71.405	24.56
Dama-2016Non-restoration	11500.00	23	176.0000	0	0.00000	-	-	-	-	-
EHpO-2015Non-restoration	19000.00	38	176.0000	4	25.962	13.771	53.04	11.286	59.721	55.01
EHpO-2016Non-restoration	25000.00	50	176.0000	7	34.530	16.146	46.76	16.478	72.356	82.13
EjSP-2015Non-restoration	2000.000	4	176.0000	0	0.00000	-	-	-	-	-
EjSP-2016Non-restoration	2000.000	4	176.0000	0	0.00000	-	-	-	-	-
EL15-2013Non-restoration	2000.000	4	176.0000	0	0.00000	89.652	100.10	12.647	634.27	3.01
EL15-2014Non-restoration	9500.000	19	176.0000	15	194.72	94.461	48.51	89.184	425.12	29.34
EL15-2015Non-restoration	9500.000	19	176.0000	4	51.924	32.506	62.60	19.408	138.92	23.83
EL15-2016Non-restoration	9500.000	19	176.0000	0	0.00000	-	-	-	-	-
El24-2008Non-restoration	5991.000	6	176.0000	0	0.00000	-	-	-	-	-
El24-2009Non-restoration	5994.000	6	176.0000	0	0.00000	-	-	-	-	-
El24-2010Non-restoration	5994.000	6	176.0000	0	0.00000	14.966	100.16	2.7900	80.021	-
El24-2011Non-restoration	5994.000	6	176.0000	0	0.00000	-	-	-	-	-
El24-2012Non-restoration	5994.000	6	176.0000	0	0.00000	-	-	-	-	-
El24-2013Non-restoration	7994.000	10	176.0000	0	0.00000	-	-	-	-	-
El24-2014Non-restoration	18500.00	37	176.0000	1	6.6659	6.8359	102.55	1.5990	27.789	-
El25-2014Non-restoration	13500.00	27	176.0000	0	0.00000	6.6409	100.10	1.6023	27.470	-
El5b-2015Non-restoration	5500.000	11	176.0000	0	0.00000	16.300	100.10	3.5993	73.673	-
El5b-2016Non-restoration	6000.000	12	176.0000	0	0.00000	33.785	56.58	23.198	153.68	11.14
El5b-2016Restoration	3500.000	7	176.0000	0	0.00000	-	-	-	-	-
ElGr-2014Non-restoration	13500.00	27	176.0000	0	0.00000	17.546	44.08	19.411	81.629	26.54
ElGr-2015Non-restoration	13500.00	27	176.0000	0	0.00000	9.2191	69.48	4.5505	38.689	26.22
ElMu-2014Non-restoration	12000.00	24	176.0000	0	0.00000	12.393	55.35	9.2363	54.279	23.30
ElMu-2015Non-restoration	12500.00	25	176.0000	6	59.194	29.086	49.14	27.031	129.62	38.50
ElUn-2015Non-restoration	6000.000	12	176.0000	0	0.00000	-	-	-	-	-
ElUn-2016Non-restoration	6000.000	12	176.0000	0	0.00000	14.942	100.10	3.3450	66.611	-
Grgz-2015Non-restoration	2500.000	5	176.0000	0	0.00000	-	-	-	-	-
HORM-2015Non-restoration	1500.000	3	176.0000	0	0.00000	-	-	-	-	-
LuBa-2015Non-restoration	5500.000	11	176.0000	0	0.00000	-	-	-	-	-
Mim-2014Non-restoration	49000.00	98	176.0000	0	0.00000	1.8296	100.10	0.45819	7.2914	-
Mim-2015Non-restoration	29500.00	59	176.0000	2	8.3607	6.1610	73.69	2.7895	25.059	70.61
Mim-2016Non-restoration	39500.00	79	176.0000	3	9.3661	5.7464	61.35	3.6656	23.931	103.79
MIMB-2016Non-restoration	5000.000	10	176.0000	0	0.00000	17.930	100.10	3.8920	82.440	-
MIMB-2016Restoration	5000.000	10	176.0000	0	0.00000	-	-	-	-	-
PDAl-2014Non-restoration	28000.00	56	176.0000	5	22.021	12.429	56.44	9.1760	52.849	77.57
PDAl-2015Non-restoration	28000.00	56	176.0000	4	17.617	9.4544	53.67	7.6275	40.690	80.63
PDAl-2016Non-restoration	28000.00	56	176.0000	0	0.00000	-	-	-	-	-
PDAl-2016Restoration	13500.00	27	176.0000	0	0.00000	-	-	-	-	-
Pena-2015Non-restoration	22500.00	45	176.0000	8	43.847	19.048	43.44	21.953	87.577	80.95
Pena-2016Non-restoration	22500.00	45	176.0000	0	0.00000	8.8356	73.99	3.9352	36.237	44.32
Pena-2016Restoration	18500.00	37	176.0000	0	0.00000	6.7646	69.86	3.3404	28.065	36.30
PEPO-2013Non-restoration	2000.000	4	176.0000	0	0.00000	-	-	-	-	-
Robl-2014Non-restoration	1500.000	3	176.0000	0	0.00000	-	-	-	-	-
Robl-2015Non-restoration	2000.000	4	176.0000	0	0.00000	44.826	100.10	6.3233	317.14	-
Robl-2016Non-restoration	2000.000	4	176.0000	3	184.98	189.70	102.55	27.133	1261.1	3.32
RUBE-2013Non-restoration	2000.000	4	176.0000	0	0.00000	51.863	57.91	25.419	315.57	3.04
SBla-2015Non-restoration	17000.00	34	176.0000	3	21.762	13.144	60.40	8.5288	55.529	44.59
SLu2-2015Non-restoration	14500.00	29	176.0000	2	17.010	12.427	73.06	5.6301	51.389	34.27
SLui-2014Non-restoration	10500.00	21	176.0000	1	11.745	12.044	102.55	2.7403	50.337	20.27
SLui-2015Non-restoration	15000.00	30	176.0000	1	8.2213	8.4309	102.55	1.9559	34.557	-
SLui-2016Non-restoration	16500.00	33	176.0000	3	22.422	22.993	102.55	5.3557	93.870	35.38
SLui-2016Restoration	14500.00	29	176.0000	1	8.5048	8.7216	102.55	2.0203	35.803	28.57
TiVe-2014Non-restoration	14500.00	29	176.0000	0	0.00000	10.342	55.81	7.6439	44.920	28.36
TiVe-2015Non-restoration	15000.00	30	176.0000	1	8.2213	8.4309	102.55	1.9559	34.557	-
VENA-2015Non-restoration	3000.000	6	176.0000	0	0.00000	-	-	-	-	-

input\HOLA_Ranch_Yr_Restoration.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
Aguj-2013Non-restoration	500.0000	1	91.00000	0	0.00000	-	-	-	-	-
Aguj-2014Non-restoration	22000.00	44	91.00000	3	5.6238	3.1988	56.88	2.3109	13.686	44.56
Aguj-2015Non-restoration	22500.00	45	91.00000	3	5.4988	3.1295	56.91	2.2596	13.381	45.59
AT-2014Non-restoration	8450.000	20	91.00000	0	0.00000	37.462	35.34	58.619	191.65	19.62
AT-2015Non-restoration	6000.000	12	91.00000	0	0.00000	27.299	30.48	52.548	152.65	11.49
AT-2016Non-restoration	6000.000	12	91.00000	0	0.00000	35.091	39.18	45.507	176.27	11.29
AU-2014Non-restoration	75200.00	114	91.00000	157	86.102	11.310	13.14	69.378	106.86	245.34
AU-2015Non-restoration	24500.00	49	91.00000	27	45.449	6.8455	15.06	35.429	58.303	85.24
AU-2016Non-restoration	23500.00	47	91.00000	28	49.138	12.999	26.45	31.799	75.932	54.52
AV-2015Non-restoration	21000.00	42	91.00000	19	37.313	7.0041	18.77	27.339	50.926	58.30
AV-2016Non-restoration	20500.00	41	91.00000	1	2.0118	2.0175	100.29	0.49391	8.1941	-
CaJa-2015Non-restoration	6000.000	12	91.00000	7	48.114	12.788	26.58	30.294	76.418	13.02
CaJa-2016Non-restoration	6000.000	12	91.00000	0	0.00000	29.246	71.15	13.287	127.17	13.63
Coy1-2014Non-restoration	7000.000	14	91.00000	1	5.8916	5.9084	100.29	1.3463	25.782	19.56
Coy1-2015Non-restoration	6500.000	13	91.00000	0	0.00000	27.097	71.41	12.305	117.01	14.85
Coy1-2016Non-restoration	6500.000	13	91.00000	0	0.00000	19.456	102.55	4.2378	84.938	-
Coy2-2007Non-restoration	4005.000	4	91.00000	4	41.190	29.272	71.07	9.2733	182.95	3.07
Coy2-2008Non-restoration	6057.000	6	91.00000	3	20.426	9.1922	45.00	8.6887	48.021	5.29
Coy2-2009Non-restoration	6032.000	6	91.00000	2	13.674	8.7264	63.82	4.2414	44.084	5.14
Coy2-2010Non-restoration	6032.000	6	91.00000	1	6.8370	6.8693	100.47	1.2753	36.653	-
Coy2-2011Non-restoration	6032.000	6	91.00000	0	0.00000	-	-	-	-	-
Coy2-2012Non-restoration	6032.000	6	91.00000	2	13.674	8.6643	63.36	4.2719	43.770	5.15
Coy2-2013Non-restoration	6032.000	6	91.00000	0	0.00000	41.966	102.63	7.6681	218.03	5.53
Coy2-2014Non-restoration	8500.000	17	91.00000	1	4.8519	4.8657	100.29	1.1318	20.799	39.79
Coy2-2015Non-restoration	8500.000	17	91.00000	0	0.00000	14.878	102.55	3.3311	63.188	-
Coy2-2016Non-restoration	10500.00	21	91.00000	0	0.00000	12.044	102.55	2.7403	50.337	-
Dama-2014Non-restoration	10500.00	21	91.00000	0	0.00000	17.046	72.57	7.7272	71.405	24.56
Dama-2015Non-restoration	10500.00	21	91.00000	1	3.9277	3.9389	100.29	0.93237	16.546	24.56
Dama-2016Non-restoration	11500.00	23	91.00000	0	0.00000	-	-	-	-	-
EHpO-2015Non-restoration	19000.00	38	91.00000	11	23.876	6.4089	26.84	15.327	37.194	43.63
EHpO-2016Non-restoration	25000.00	50	91.00000	25	41.241	9.1268	22.13	28.628	59.412	62.73
EjSP-2015Non-restoration	2000.000	4	91.00000	2	41.241	24.014	58.23	11.763	144.59	3.10
EjSP-2016Non-restoration	2000.000	4	91.00000	1	20.620	20.679	100.29	2.9211	145.56	-
EL15-2013Non-restoration	2000.000	4	91.00000	0	0.00000	89.652	100.10	12.647	634.27	3.01
EL15-2014Non-restoration	9500.000	19	91.00000	0	0.00000	94.461	48.51	89.184	425.12	29.34
EL15-2015Non-restoration	9500.000	19	91.00000	1	4.3412	4.3535	100.29	1.0226	18.429	23.83
EL15-2016Non-restoration	9500.000	19	91.00000	1	4.3412	4.3535	100.29	1.0226	18.429	-
El24-2008Non-restoration	5991.000	6	91.00000	0	0.00000	-	-	-	-	-
El24-2009Non-restoration	5994.000	6	91.00000	11	75.684	23.254	30.73	41.959	136.52	5.66
El24-2010Non-restoration	5994.000	6	91.00000	16	110.09	27.093	24.61	68.810	176.12	6.09
El24-2011Non-restoration	5994.000	6	91.00000	16	110.09	78.621	71.42	30.386	398.84	5.11
El24-2012Non-restoration	5994.000	6	91.00000	7	48.163	27.283	56.65	16.773	138.29	5.18
El24-2013Non-restoration	7994.000	10	91.00000	16	82.544	25.238	30.57	48.069	141.75	10.21
El24-2014Non-restoration	18500.00	37	91.00000	36	80.253	18.384	22.91	54.895	117.32	45.30
El25-2014Non-restoration	13500.00	27	91.00000	6	18.329	12.784	69.75	6.2686	53.595	26.62
El5b-2015Non-restoration	5500.000	11	91.00000	0	0.00000	16.300	100.10	3.5993	73.673	-
El5b-2016Non-restoration	6000.000	12	91.00000	7	48.114	27.965	58.12	18.315	126.40	11.38
El5b-2016Restoration	3500.000	7	91.00000	0	0.00000	-	-	-	-	-
ElGr-2014Non-restoration	13500.00	27	91.00000	1	3.0549	3.0636	100.29	0.73668	12.668	26.54
ElGr-2015Non-restoration	13500.00	27	91.00000	3	9.1647	5.1306	55.98	3.7659	22.303	26.97
ElMu-2014Non-restoration	12000.00	24	91.00000	0	0.00000	12.393	55.35	9.2363	54.279	23.30
ElMu-2015Non-restoration	12500.00	25	91.00000	0	0.00000	29.086	49.14	27.031	129.62	38.50
ElUn-2015Non-restoration	6000.000	12	91.00000	8	54.988	12.438	22.62	37.097	81.507	13.93
ElUn-2016Non-restoration	6000.000	12	91.00000	8	54.988	18.996	34.55	30.241	99.985	12.13
Grgz-2015Non-restoration	2500.000	5	91.00000	1	16.496	16.543	100.29	2.8022	97.115	-
HORM-2015Non-restoration	1500.000	3	91.00000	3	82.482	6.2330	7.56	72.845	93.394	955.46
LuBa-2015Non-restoration	5500.000	11	91.00000	5	37.492	13.293	35.46	20.206	69.564	10.97
Mim-2014Non-restoration	49000.00	98	91.00000	66	55.549	8.6345	15.54	43.021	71.726	164.73
Mim-2015Non-restoration	29500.00	59	91.00000	29	40.542	6.2211	15.34	31.471	52.227	100.46
Mim-2016Non-restoration	39500.00	79	91.00000	95	99.187	12.593	12.70	80.475	122.25	182.56
MIMB-2016Non-restoration	5000.000	10	91.00000	0	0.00000	17.930	100.10	3.8920	82.440	-
MIMB-2016Restoration	5000.000	10	91.00000	5	41.241	28.345	68.73	13.228	128.57	9.22
PDAl-2014Non-restoration	28000.00	56	91.00000	0	0.00000	12.429	56.44	9.1760	52.849	77.57
PDAl-2015Non-restoration	28000.00	56	91.00000	0	0.00000	9.4544	53.67	7.6275	40.690	80.63
PDAl-2016Non-restoration	28000.00	56	91.00000	0	0.00000	-	-	-	-	-
PDAl-2016Restoration	13500.00	27	91.00000	3	9.1647	5.1306	55.98	3.7659	22.303	26.97
Pena-2015Non-restoration	22500.00	45	91.00000	0	0.00000	19.048	43.44	21.953	87.577	80.95
Pena-2016Non-restoration	22500.00	45	91.00000	1	1.8329	1.8382	100.29	0.45136	7.4434	44.32
Pena-2016Restoration	18500.00	37	91.00000	1	2.2292	2.2356	100.29	0.54531	9.1132	36.30
PEPO-2013Non-restoration	2000.000	4	91.00000	0	0.00000	-	-	-	-	-
Robl-2014Non-restoration	1500.000	3	91.00000	0	0.00000	-	-	-	-	-
Robl-2015Non-restoration	2000.000	4	91.00000	0	0.00000	44.826	100.10	6.3233	317.14	-
Robl-2016Non-restoration	2000.000	4	91.00000	0	0.00000	189.70	102.55	27.133	1261.1	3.32
RUBE-2013Non-restoration	2000.000	4	91.00000	0	0.00000	51.863	57.91	25.419	315.57	3.04
SBla-2015Non-restoration	17000.00	34	91.00000	0	0.00000	13.144	60.40	8.5288	55.529	44.59
SLu2-2015Non-restoration	14500.00	29	91.00000	1	2.8442	2.8523	100.29	0.68842	11.751	34.27
SLui-2014Non-restoration	10500.00	21	91.00000	0	0.00000	12.044	102.55	2.7403	50.337	20.27
SLui-2015Non-restoration	15000.00	30	91.00000	3	8.2482	4.6370	56.22	3.3892	20.073	30.08
SLui-2016Non-restoration	16500.00	33	91.00000	3	7.4984	4.2298	56.41	3.0811	18.248	33.18
SLui-2016Restoration	14500.00	29	91.00000	1	2.8442	2.8523	100.29	0.68842	11.751	28.57
TiVe-2014Non-restoration	14500.00	29	91.00000	16	45.507	14.924	32.80	26.472	78.231	31.23
TiVe-2015Non-restoration	15000.00	30	91.00000	9	24.745	7.2637	29.35	15.213	40.248	33.26
VENA-2015Non-restoration	3000.000	6	91.00000	5	68.735	14.696	21.38	45.848	103.05	144.36

input\WEME_Ranch_Yr_Restoration.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
Aguj-2013Non-restoration	500.0000	1	140.0000	0	0.00000	-	-	-	-	-
Aguj-2014Non-restoration	22000.00	44	140.0000	8	4.5120	1.9041	42.20	2.2881	8.8974	47.96
Aguj-2015Non-restoration	22500.00	45	140.0000	19	10.478	2.1109	20.15	7.5159	14.607	74.24
AT-2014Non-restoration	8450.000	20	140.0000	2	2.9368	2.0115	68.49	1.0071	8.5640	19.79
AT-2015Non-restoration	6000.000	12	140.0000	7	14.476	3.9491	27.28	9.0395	23.182	14.44
AT-2016Non-restoration	6000.000	12	140.0000	10	20.680	8.7834	42.47	10.020	42.680	12.25
AU-2014Non-restoration	75200.00	114	140.0000	2	0.33000	0.23372	70.82	0.11466	0.94974	117.39
AU-2015Non-restoration	24500.00	49	140.0000	0	0.00000	6.8455	15.06	35.429	58.303	85.24
AU-2016Non-restoration	23500.00	47	140.0000	0	0.00000	12.999	26.45	31.799	75.932	54.52
AV-2015Non-restoration	21000.00	42	140.0000	39	23.043	2.5979	11.27	19.145	27.736	351.82
AV-2016Non-restoration	20500.00	41	140.0000	0	0.00000	2.0175	100.29	0.49391	8.1941	-
CaJa-2015Non-restoration	6000.000	12	140.0000	1	2.0680	2.0778	100.47	0.46249	9.2468	13.02
CaJa-2016Non-restoration	6000.000	12	140.0000	0	0.00000	29.246	71.15	13.287	127.17	13.63
Coy1-2014Non-restoration	7000.000	14	140.0000	0	0.00000	5.9084	100.29	1.3463	25.782	19.56
Coy1-2015Non-restoration	6500.000	13	140.0000	0	0.00000	27.097	71.41	12.305	117.01	14.85
Coy1-2016Non-restoration	6500.000	13	140.0000	0	0.00000	19.456	102.55	4.2378	84.938	-
Coy2-2007Non-restoration	4005.000	4	140.0000	0	0.00000	29.272	71.07	9.2733	182.95	3.07
Coy2-2008Non-restoration	6057.000	6	140.0000	0	0.00000	9.1922	45.00	8.6887	48.021	5.29
Coy2-2009Non-restoration	6032.000	6	140.0000	0	0.00000	8.7264	63.82	4.2414	44.084	5.14
Coy2-2010Non-restoration	6032.000	6	140.0000	0	0.00000	6.8693	100.47	1.2753	36.653	-
Coy2-2011Non-restoration	6032.000	6	140.0000	1	2.0570	2.0567	99.98	0.38704	10.932	-
Coy2-2012Non-restoration	6032.000	6	140.0000	0	0.00000	8.6643	63.36	4.2719	43.770	5.15
Coy2-2013Non-restoration	6032.000	6	140.0000	0	0.00000	41.966	102.63	7.6681	218.03	5.53
Coy2-2014Non-restoration	8500.000	17	140.0000	0	0.00000	4.8657	100.29	1.1318	20.799	39.79
Coy2-2015Non-restoration	8500.000	17	140.0000	1	1.4598	1.4667	100.47	0.34009	6.2657	-
Coy2-2016Non-restoration	10500.00	21	140.0000	0	0.00000	12.044	102.55	2.7403	50.337	-
